Pnum,BiasCondition,HarmCondition,ExplicitLowHarm,ExplicitHighHarm,ImplicitLowHarm,ImplicitHighHarm,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Accountability_4_REV,Accountability_5,Accountability_5_REV,Accountability_6,xAccountability,Concern_1,Concern_1_REV,Concern_2,Concern_2_REV,Concern_3,Concern_3_REV,Concern_4,Concern_5,Concern_6,Concern_7,xConcern,Reform_1,Reform_2,Reform_3,Reform_4,Reform_5,xReform,Punish_1,Punish_2,Punish_3,xPunish,BiasPercep_1,BiasPercep_2,BiasPercep_3,BiasPercep_3_REV,BiasPercep_4,xBiasPercep,Attribution,MCP_1,MCP_2,MCP_3,MCP_4,MCP_5,xEMS,MCP_6,MCP_7,MCP_7_REV,MCP_8,MCP_9,MCP_10,xIMS,BiasAware_1,BiasAware_2,BiasAware_3,BiasAware_4,BiasAware_4_REV,xBiasAware,IB_Know_1,IB_Know_2,IB_Know_3,xIBKnow,BiasDef,Job,MedicalProf,YearBorn,Age,Gender,Gender_Recoded,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_6_TEXT,White_Nonwhite,Cons,Lib,Lib_REV,xCons,Party,Party_TEXT,FESSUP,Suspicion,Feedback,Hype,Prev
54,-0.5,-0.5,1,0,0,0,7,7,7,2,6,2,6,7,6.67,3,5,3,5,5,3,7,7,7,7,5.86,7,7,7,6,2,5.80,5,7,5,5.67,1,1,7,1,1,1.00,1,4,1,1,1,4,2.20,7,1,7,7,7,7,7.00,1,2,1,7,1,1.25,3,3,5,3.67,3,unemployed,0,1989,27,2,0.50,1,0,0,0,0,0,,0.50,5,7,1.00,3.00,4,I vote based on policy not party,1,0,"I feel like it was ok, but I don't know. something about the way the article was formatted made it hard to really grasp. Like I had to read it 3 times before I felt comfortable and I still wanted to go back and read it again to make sure while answering the questions.",I'm guessing everyone got a different article and you're wondering if it would affect how we'd answer the questions.,3
55,-0.5,-0.5,1,0,0,0,4,6,6,2,6,2,6,6,5.67,5,3,4,4,4,4,6,5,5,5,4.57,6,4,5,3,6,4.80,4,5,6,5.00,5,5,3,5,5,5.00,5,6,5,5,6,4,5.20,6,2,6,6,4,6,5.60,5,5,7,2,6,5.75,6,6,7,6.33,3,Behavioral Health Technician,0,1989,27,1,-0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,no,Bias,2
56,-0.5,-0.5,1,0,0,0,5,5,5,4,4,7,1,4,4.00,7,1,7,1,7,1,6,6,6,4,3.57,5,5,5,5,6,5.20,4,4,4,4.00,4,4,5,3,4,3.75,5,1,1,6,1,4,2.60,7,3,5,5,7,4,5.60,5,6,5,5,3,4.75,5,5,6,5.33,3,Packaging,0,1998,18,2,0.50,0,1,0,0,0,0,,0.50,4,4,4.00,4.00,3,,1,0,,"To see what we think of bias with older age group, and how we view stereotype as a person",2
57,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,7,7.00,7,7,7,7.00,5,5,3,5,5,5.00,1,4,1,4,1,1,2.20,6,1,7,7,7,7,6.80,5,5,4,3,5,4.75,1,4,4,3.00,4,Administrative Staff,0,1962,54,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,none,not sure,2
58,-0.5,-0.5,1,0,0,0,6,6,7,2,6,1,7,6,6.33,3,5,4,4,4,4,6,6,6,6,5.29,6,7,5,6,6,6.00,4,6,3,4.33,4,4,4,4,2,3.50,4,2,2,2,2,2,2.00,7,1,7,7,7,7,7.00,2,4,4,3,5,3.75,5,5,4,4.67,3,Office worker,0,1989,27,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,3,,1,0,,"I think it might be to test biases and how people perceive and respond to them, given that the first part was about ageism and biases that doctors may not be aware of but still exist. But I'm not sure.",2
59,-0.5,-0.5,1,0,0,0,5,4,4,4,4,3,5,3,4.17,5,3,4,4,4,4,5,5,6,5,4.57,5,4,5,4,4,4.40,4,4,5,4.33,5,4,5,3,5,4.25,5,5,5,4,4,3,4.20,4,3,5,3,5,4,4.20,4,4,5,4,4,4.25,5,5,5,5.00,3,sales,0,1993,23,1,-0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,2,,1,0,NA,To see how people feel about biases.,2
60,-0.5,-0.5,1,0,0,0,5,7,7,1,7,5,3,7,6.00,5,3,3,5,5,3,7,7,4,7,5.14,7,7,7,7,7,7.00,6,7,7,6.67,6,6,3,5,6,5.75,6,4,3,6,4,3,4.00,7,3,5,7,6,7,6.40,5,5,5,3,5,5.00,3,2,4,3.00,4,Newspaper delivery,0,1987,29,2,0.50,0,0,1,1,0,0,,0.50,3,5,3.00,3.00,4,Libertarian,1,0,No,Learning about biases,2
61,-0.5,-0.5,1,0,0,0,5,5,7,3,5,2,6,3,5.17,2,6,3,5,6,2,5,6,6,5,5.00,5,6,5,2,6,4.80,2,6,5,4.33,3,3,6,2,1,2.25,2,1,1,3,1,1,1.40,1,2,6,6,6,6,5.00,1,1,1,6,2,1.25,6,6,6,6.00,3,Electrical Engineer,0,1968,48,1,-0.50,0,0,1,0,0,0,,-0.50,3,3,5.00,4.00,3,,1,0,"Bias generated against skin color is as dumb as not taking a highway because of the number of the highway. I never understood that. NOW being biased against ex-cons, or lawyers, etc. Thats a different survey and I would have to say YES I am biased.",Black Rights,1
62,-0.5,-0.5,1,0,0,0,3,5,6,5,3,3,5,2,4.00,2,6,4,4,5,3,5,4,4,4,4.29,3,6,2,5,4,4.00,4,3,2,3.00,5,5,3,5,5,5.00,6,2,2,5,2,2,2.60,7,2,6,6,6,6,6.20,4,7,6,3,5,5.50,6,6,6,6.00,3,Customer Service Representative,0,1993,23,1,-0.50,0,1,0,0,0,0,,0.50,3,5,3.00,3.00,3,,1,0,The article needs to expand more on what the outcomes of the bias are. All it states is that there is one due to doctors' interactions with patients but not what they end up doing (i.e if they treat the others coldly or mock the patients),To get a sense of how everyone thinks about bias/stereotyping other groups of people,1
63,-0.5,-0.5,1,0,0,0,5,7,7,1,7,2,6,7,6.50,2,6,1,7,4,4,6,5,4,5,5.29,7,5,7,5,7,6.20,7,7,6,6.67,5,5,3,5,5,5.00,5,6,5,5,5,5,5.20,7,1,7,7,7,7,7.00,5,2,5,3,5,4.25,7,7,7,7.00,3,customer service rep,0,1988,28,2,0.50,0,0,1,0,0,0,,-0.50,6,2,6.00,6.00,2,,1,0,mo,biased opinion,2
64,-0.5,-0.5,1,0,0,0,7,6,6,2,6,3,5,7,6.17,5,3,3,5,3,5,7,6,7,7,5.71,7,7,5,7,6,6.40,6,7,5,6.00,5,6,4,4,6,5.25,5,6,6,6,6,7,6.20,7,3,5,5,7,5,5.80,6,5,6,5,3,5.00,6,5,6,5.67,3,receptionist,0,1993,23,2,0.50,0,0,1,0,0,0,,-0.50,3,5,3.00,3.00,1,,1,0,,,2
65,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,7,7.00,7,7,7,7.00,2,5,3,5,2,3.50,6,1,1,1,1,1,1.00,7,1,7,7,7,7,7.00,5,4,4,4,4,4.25,6,6,6,6.00,3,editor,0,1984,32,2,0.50,0,0,0,0,0,1,,0.50,1,7,1.00,1.00,1,,1,0,no,to better understand respondents' feelings concerning biases,2
66,-0.5,-0.5,1,0,0,0,5,5,5,3,5,5,3,5,4.67,4,4,4,4,5,3,5,5,5,5,4.43,6,5,6,5,5,5.40,4,4,4,4.00,4,5,5,3,4,4.00,5,3,5,5,4,5,4.40,6,3,5,6,5,6,5.60,5,3,3,3,5,4.00,5,5,5,5.00,3,homemaker,0,1978,38,2,0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,3,,1,0,none,Whether people will find ageism a bad thing.,2
67,-0.5,-0.5,1,0,0,0,7,7,7,1,7,4,4,7,6.50,3,5,1,7,1,7,7,7,7,7,6.71,6,6,7,4,7,6.00,6,6,5,5.67,6,7,2,6,6,6.25,4,6,7,6,6,2,5.40,6,2,6,6,6,6,6.00,5,4,5,4,4,4.50,6,6,6,6.00,3,journalist,0,1981,35,2,0.50,1,0,0,0,0,0,,0.50,5,5,3.00,4.00,1,,1,0,,I think the purpose of the study was to see how people reacted to the article versus their own personal views regarding biasness.,3
68,-0.5,-0.5,1,0,0,0,3,3,4,5,3,5,3,5,3.50,5,3,5,3,5,3,5,5,5,5,4.14,5,5,5,5,5,5.00,5,5,5,5.00,4,5,5,3,4,4.00,5,5,4,5,5,5,4.80,5,5,3,5,5,5,4.60,4,3,3,3,5,3.75,5,5,5,5.00,3,writer,0,1983,33,1,-0.50,0,0,1,0,0,0,,-0.50,5,4,4.00,4.50,3,,1,0,no,Studying me,2
69,-0.5,-0.5,1,0,0,0,6,6,6,3,5,3,5,5,5.50,3,5,3,5,3,5,5,5,5,5,5.00,5,5,5,5,5,5.00,5,5,5,5.00,3,3,4,4,3,3.25,3,3,3,3,3,4,3.20,4,4,4,5,6,5,4.80,3,3,4,5,3,3.25,4,4,5,4.33,3,consulting/english teacher,0,1985,31,1,-0.50,0,1,0,0,0,0,,0.50,4,4,4.00,4.00,4,bipartisan,1,0,"I think it is surprising that doctors would have bias against elderly, for one, it is their profession and they should receive training to provide their best services as doctors for patience, regardless of age.  Secondly, elderly at times are the one who are in need of medical attention more so, so it is even more important that they receive the best medical services they need",bias and self perception,2
70,-0.5,-0.5,1,0,0,0,1,7,7,3,5,5,3,4,4.50,4,4,6,2,6,2,4,6,4,5,3.86,7,5,4,3,6,5.00,1,3,3,2.33,2,2,5,3,3,2.50,2,5,4,3,4,4,4.00,4,4,4,2,5,2,3.40,6,1,2,5,3,3.00,6,7,6,6.33,3,Registered Nurse,1,1973,43,2,0.50,0,0,1,0,0,0,,-0.50,5,5,3.00,4.00,2,,1,0,,,2
71,-0.5,-0.5,1,0,0,0,5,6,7,1,7,2,6,5,6.00,4,4,4,4,5,3,7,6,7,5,5.14,7,4,6,5,5,5.40,4,5,3,4.00,5,5,3,5,5,5.00,5,4,2,2,4,1,2.60,7,1,7,7,7,6,6.80,4,2,5,2,6,4.25,6,6,7,6.33,3,data and information services collector,0,1967,49,2,0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,Interesting - and relevant - topic. Nice to see it being addressed.,Implicit bias and it's affect on the way we perceive things.,2
72,-0.5,-0.5,1,0,0,0,6,6,6,2,6,1,7,6,6.17,2,6,2,6,2,6,7,7,7,7,6.57,7,7,7,7,7,7.00,6,7,7,6.67,3,3,3,5,3,3.50,2,2,2,2,2,2,2.00,6,2,6,6,6,6,6.00,5,6,6,1,7,6.00,5,5,5,5.00,3,customer service rep,0,1973,43,2,0.50,1,0,0,0,0,0,,0.50,2,6,2.00,2.00,1,,1,0,No.,I'm not sure.,2
73,-0.5,-0.5,1,0,0,0,4,4,4,4,4,4,4,4,4.00,4,4,4,4,4,4,4,4,4,4,4.00,4,4,4,4,4,4.00,4,4,4,4.00,4,4,4,4,4,4.00,4,4,4,4,4,4,4.00,4,4,4,4,4,4,4.00,4,4,4,4,4,4.00,4,4,4,4.00,3,homemaker,0,1978,38,2,0.50,0,0,1,0,0,0,,-0.50,4,5,3.00,3.50,3,,1,0,none,dont know,2
74,-0.5,-0.5,1,0,0,0,4,5,4,5,3,3,5,4,4.17,4,4,5,3,5,3,5,5,5,5,4.29,4,4,5,5,4,4.40,5,5,5,5.00,5,4,4,4,5,4.50,4,4,2,4,4,4,3.60,4,2,6,2,6,4,4.40,2,2,2,5,3,2.25,6,5,6,5.67,3,Education,0,1987,29,2,0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,2,,1,0,it was interesting,To read a new article and give my opinion,2
75,-0.5,-0.5,1,0,0,0,6,5,6,5,3,6,2,4,4.33,2,6,3,5,3,5,7,5,6,5,5.57,2,3,2,4,2,2.60,4,5,4,4.33,6,6,6,2,6,5.00,5,2,2,3,4,5,3.20,3,6,2,3,6,6,4.00,6,6,7,1,7,6.50,2,2,1,1.67,4,Administrator,0,1984,32,2,0.50,0,0,1,0,0,0,,-0.50,3,5,3.00,3.00,2,,1,0,No,Not sure,2
76,-0.5,-0.5,1,0,0,0,6,6,6,3,5,3,5,5,5.50,4,4,3,5,3,5,6,6,6,6,5.43,5,5,5,5,5,5.00,3,4,3,3.33,2,3,6,2,2,2.25,6,4,6,6,4,3,4.60,7,1,7,7,7,7,7.00,5,5,6,5,3,4.75,6,6,6,6.00,3,Research Assistant,0,1993,23,1,-0.50,0,1,0,0,0,0,,0.50,2,6,2.00,2.00,1,,1,0,None,How and what kind of biases we have towards certain professions based on how they treat certain groups of people.,2
77,-0.5,-0.5,1,0,0,0,4,5,5,3,5,5,3,4,4.33,6,2,4,4,4,4,5,5,5,4,4.14,6,7,6,5,6,6.00,4,6,6,5.33,6,6,6,2,4,4.50,1,4,3,5,5,6,4.60,6,3,5,5,4,6,5.20,5,3,7,4,4,4.75,7,7,7,7.00,3,IT Management,0,1990,26,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,3,,1,0,None.,Unsure.,2
78,-0.5,-0.5,1,0,0,0,7,6,6,1,7,2,6,6,6.33,2,6,2,6,2,6,6,6,6,6,6.00,6,6,2,2,6,4.40,6,6,6,6.00,2,3,5,3,2,2.50,2,2,2,2,1,1,1.60,7,2,6,7,7,6,6.60,1,1,1,1,7,2.50,5,5,5,5.00,3,educator,0,1991,25,2,0.50,0,1,0,0,0,0,,0.50,3,6,2.00,2.50,2,,1,0,na,information and opinions,2
79,-0.5,-0.5,1,0,0,0,7,7,4,1,7,5,3,7,5.83,2,6,2,6,2,6,7,7,7,7,6.57,7,4,7,7,5,6.00,2,4,4,3.33,4,6,2,6,7,5.75,5,1,1,1,1,1,1.00,5,4,4,5,6,5,5.00,7,1,2,6,2,3.00,5,5,6,5.33,3,truck unloader,0,1983,33,2,0.50,0,0,1,0,0,0,,-0.50,5,3,5.00,5.00,2,,1,0,thank you,to see if everyone including doctors is bias,2
80,-0.5,-0.5,1,0,0,0,6,5,7,2,6,5,3,6,5.50,1,7,1,7,1,7,7,7,7,7,7.00,5,6,6,4,6,5.40,5,6,6,5.67,2,4,4,4,2,3.00,2,7,2,5,2,2,3.60,6,2,6,6,6,6,6.00,2,2,2,6,2,2.00,5,6,5,5.33,3,self employed,0,1959,57,2,0.50,0,0,1,0,0,0,,-0.50,4,4,4.00,4.00,2,,1,0,none,to see if we have implicit biases,2
81,-0.5,-0.5,1,0,0,0,6,6,6,2,6,3,5,6,5.83,5,3,5,3,5,3,4,5,5,6,4.14,5,5,6,3,2,4.20,6,6,5,5.67,5,5,2,6,5,5.25,5,6,6,6,6,5,5.80,3,4,4,3,3,3,3.20,5,5,5,3,5,5.00,5,5,4,4.67,3,police officer,0,1975,41,1,-0.50,0,0,1,0,0,0,,-0.50,7,2,6.00,6.50,2,,1,0,Thanks for the thought-provoking content.,Recognition of implicit bias,2
82,-0.5,-0.5,1,0,0,0,3,4,4,5,3,2,6,5,4.17,5,3,5,3,5,3,3,3,3,3,3.00,4,4,5,4,5,4.40,4,4,4,4.00,5,5,3,5,4,4.75,5,6,6,6,5,4,5.40,6,3,5,6,6,6,5.80,5,5,4,3,5,4.75,6,6,6,6.00,3,teacher,0,1978,38,2,0.50,0,0,1,0,0,0,,-0.50,6,3,5.00,5.50,2,,1,0,If doctors are encouraged or made to go through bias training I think it should be at their own expense and not required or paid for by the government.,"stereotypes, biases and their role in health care",2
83,-0.5,-0.5,1,0,0,0,2,4,5,5,3,5,3,5,3.67,4,4,6,2,6,2,6,4,6,5,4.14,4,4,5,4,4,4.20,3,4,3,3.33,3,3,3,5,2,3.25,2,4,2,6,4,2,3.60,4,5,3,2,2,2,2.60,4,2,2,5,3,2.75,5,5,6,5.33,3,Self-employed,0,1987,29,1,-0.50,0,0,1,0,0,0,,-0.50,5,5,3.00,4.00,3,,1,0,,Attitudes toward bias/biases by demographic,1
84,-0.5,-0.5,1,0,0,0,6,6,7,2,6,3,5,6,6.00,3,5,3,5,2,6,6,7,6,7,6.00,6,5,7,6,5,5.80,5,6,5,5.33,2,2,5,3,2,2.25,3,3,2,2,2,2,2.20,6,2,6,6,6,5,5.80,2,2,2,6,2,2.00,6,6,5,5.67,3,office manager,0,1957,59,2,0.50,0,0,1,0,0,0,,-0.50,5,2,6.00,5.50,2,,1,0,no thank you,to determine if people are aware of their feelings about being judgemental,2
85,-0.5,-0.5,1,0,0,0,5,5,6,3,5,4,4,5,5.00,2,6,2,6,2,6,6,5,6,6,5.86,6,6,6,5,5,5.60,5,5,5,5.00,5,5,4,4,3,4.25,5,6,1,2,1,1,2.20,7,1,7,7,7,6,6.80,3,1,2,6,2,2.00,7,7,7,7.00,3,retired quality technician,0,1953,63,2,0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,"I believe drs. need to take care of all patients the same. However I can see how it might be easy, and sometimes even necessary, to consider the age of the patient when treating them. My mother-in-law was 96 when she died and there were certain treatments that couldn't be done because of her age. It's a fine line to wonder if the dr. is being biased or logical in their decision on treatment.",To see how people feel about drs. being biased toward elderly patients and if they have underlying prejudices that they might not be aware of themselves.,2
86,-0.5,-0.5,1,0,0,0,5,7,6,4,4,5,3,6,5.17,5,3,5,3,5,3,7,7,7,7,5.29,6,6,5,6,4,5.40,2,4,1,2.33,3,5,4,4,5,4.25,3,1,1,5,1,1,1.80,7,1,7,7,7,7,7.00,5,1,5,1,7,4.50,7,7,7,7.00,3,office admin,0,1975,41,1,-0.50,0,0,1,0,0,0,,-0.50,2,7,1.00,1.50,1,,1,0,no,I have no idea,2
87,-0.5,-0.5,1,0,0,0,6,6,6,1,7,4,4,2,5.17,2,6,4,4,4,4,7,7,7,6,5.86,6,6,6,5,6,5.80,5,6,4,5.00,5,4,3,5,5,4.75,5,6,6,6,6,4,5.60,7,4,4,6,5,5,5.40,5,6,6,2,6,5.75,5,6,5,5.33,3,FINANCIAL ANALYST,0,1996,20,1,-0.50,0,1,0,0,0,0,,0.50,5,4,4.00,4.50,1,,1,0,NO,ABOUT DOCTOR BIAS BEHAVIOUR,2
88,-0.5,-0.5,1,0,0,0,4,7,7,2,6,1,7,7,6.33,5,3,5,3,5,3,5,7,6,7,4.86,5,3,7,5,5,5.00,4,5,3,4.00,6,5,6,2,6,4.75,5,5,5,5,5,5,5.00,7,5,3,6,7,5,5.60,2,7,7,2,6,5.50,5,5,5,5.00,3,Surgical Assistant,0,1977,39,1,-0.50,0,0,1,0,0,0,,-0.50,5,1,7.00,6.00,2,,1,0,N/A,To see how we treat others around us.,2
89,-0.5,-0.5,1,0,0,0,6,5,6,1,7,2,6,6,6.00,1,7,4,4,3,5,6,7,6,6,5.86,7,6,7,5,6,6.20,4,6,5,5.00,6,6,3,5,5,5.50,5,2,3,3,2,3,2.60,5,4,4,4,5,5,4.60,5,4,5,3,5,4.75,6,6,6,6.00,3,Mechanical Repair,0,1965,51,1,-0.50,0,0,1,0,0,0,,-0.50,1,6,2.00,1.50,1,,1,0,"none, thanks.",no idea really.,2
90,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,7,7.00,7,7,7,7.00,5,5,5,3,5,4.50,1,7,7,7,7,1,5.80,7,1,7,7,7,7,7.00,5,1,1,5,3,2.50,7,7,7,7.00,3,Teacher,0,1965,51,2,0.50,0,0,1,0,0,0,,-0.50,5,2,6.00,5.50,2,,1,0,no,my attitudes and opinions,2
91,-0.5,-0.5,1,0,0,0,5,5,6,2,6,2,6,6,5.67,2,6,4,4,4,4,4,5,5,5,4.71,5,5,5,4,4,4.60,5,5,3,4.33,5,5,2,6,5,5.25,5,3,3,5,3,3,3.40,6,2,6,5,5,6,5.60,5,5,6,2,6,5.50,6,6,5,5.67,3,Pharmacy Technician II,0,1985,31,2,0.50,0,0,1,1,0,0,,0.50,2,6,2.00,2.00,1,,1,0,"I honestly think that according to how we grew up (environment, peers, etc) directly affects how we perceive other races, genders, etc etc. It's being aware of that and striving to work against implicit bias that we have a choice. I know I have a bias against darker color skinned because my father was a raging racist, I just try to keep an open mind and when I catch myself thinking in such ways attempt to correct it.",The correlation between implicit bias and our responses.,2
92,-0.5,-0.5,1,0,0,0,5,4,4,4,4,4,4,4,4.17,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,7,7.00,7,7,7,7.00,4,4,4,4,4,4.00,1,1,4,4,4,1,2.80,4,1,7,1,4,1,3.40,1,1,1,7,1,1.00,2,7,6,5.00,3,freelancer,0,1982,34,2,0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,no,unsure,2
93,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,7,7.00,7,7,7,7.00,5,5,3,5,3,4.50,7,1,1,1,1,1,1.00,7,1,7,7,7,7,7.00,5,5,5,1,7,5.50,7,7,7,7.00,3,RN,1,1955,61,2,0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,no,dont know,2
94,-0.5,-0.5,1,0,0,0,6,7,7,1,7,5,3,7,6.17,2,6,1,7,1,7,7,7,7,7,6.86,7,7,7,7,7,7.00,6,7,6,6.33,5,5,2,6,5,5.25,5,6,6,2,6,2,4.40,6,2,6,6,6,6,6.00,5,5,5,3,5,5.00,6,6,6,6.00,3,"journalist, public rrelations",0,1952,64,2,0.50,0,0,1,0,0,0,,-0.50,6,1,7.00,6.50,2,,1,0,very interesting article about doctors and the elderly.,opinions about bias,2
95,-0.5,-0.5,1,0,0,0,5,5,5,3,5,3,5,5,5.00,3,5,3,5,3,5,3,5,5,5,4.71,5,5,5,5,5,5.00,5,5,4,4.67,3,3,5,3,3,3.00,4,4,3,4,3,3,3.40,6,3,5,6,5,6,5.60,3,3,3,3,5,3.50,4,4,4,4.00,3,Proposal writer,0,1976,40,2,0.50,0,0,1,0,0,0,,-0.50,2,4,4.00,3.00,1,,1,0,None,To see what felt about bias behavior,2
96,-0.5,-0.5,1,0,0,0,5,6,6,1,7,3,5,7,6.00,2,6,5,3,5,3,5,6,5,5,4.71,3,6,5,6,6,5.20,4,7,5,5.33,7,7,3,5,7,6.50,3,6,5,7,7,6,6.20,7,3,5,7,5,7,6.20,3,2,2,6,2,2.25,3,6,7,5.33,3,Warehouse Associate,0,1995,21,1,-0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,,,2
97,-0.5,-0.5,1,0,0,0,5,5,5,5,3,5,3,3,4.00,5,3,5,3,4,4,4,5,5,6,4.29,5,5,5,4,6,5.00,5,5,6,5.33,5,5,4,4,5,4.75,5,5,4,5,6,5,5.00,5,5,3,4,4,5,4.20,6,2,4,5,3,3.75,5,6,5,5.33,1,Student,0,1990,26,1,-0.50,0,1,0,0,0,0,,0.50,5,5,3.00,4.00,3,,1,0,,,2
98,-0.5,-0.5,1,0,0,0,5,6,6,2,6,1,7,6,6.00,2,6,3,5,3,5,6,6,6,6,5.71,6,6,6,6,2,5.20,6,6,6,6.00,5,5,2,6,5,5.25,5,2,2,2,2,2,2.00,6,2,6,6,2,6,5.20,5,5,6,2,6,5.50,6,6,6,6.00,3,delivery driver,0,1962,54,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,n/a,whether the bias towards the elderly concerns me,2
99,-0.5,-0.5,1,0,0,0,7,7,7,1,7,2,6,7,6.83,2,6,3,5,1,7,7,7,7,7,6.57,7,6,7,6,7,6.60,4,5,5,4.67,1,4,4,4,1,2.50,1,4,4,4,4,4,4.00,7,2,6,7,7,6,6.60,1,1,3,4,4,2.25,6,6,6,6.00,3,Office work,0,1961,55,2,0.50,0,0,1,0,0,0,,-0.50,2,6,2.00,2.00,1,,1,0,,Evaluate opinions about bias,2
100,-0.5,-0.5,1,0,0,0,7,7,7,1,7,1,7,7,7.00,1,7,1,7,1,7,7,7,7,7,7.00,7,7,7,7,7,7.00,7,7,7,7.00,1,1,7,1,1,1.00,1,1,1,1,1,1,1.00,7,1,7,7,7,7,7.00,1,1,1,7,1,1.00,1,1,4,2.00,4,Accountant,0,1988,28,1,-0.50,0,0,0,1,0,0,,0.50,1,7,1.00,1.00,1,,1,0,Great survey!,To see if we blame doctors for their bias views of older patients.,2
101,-0.5,-0.5,1,0,0,0,6,7,7,2,6,4,4,7,6.17,2,6,1,7,5,3,7,7,7,7,6.29,7,6,7,2,1,4.60,6,7,7,6.67,1,5,7,1,6,3.25,1,2,6,6,1,2,3.40,7,2,6,7,7,6,6.60,2,6,2,6,2,3.00,7,6,7,6.67,3,ELECTRICAL ENGINEERING,0,1978,38,1,-0.50,0,0,1,0,0,0,,-0.50,1,2,6.00,3.50,3,,1,0,NO,attitudes toward biases,2
102,-0.5,-0.5,1,0,0,0,6,5,6,3,5,5,3,6,5.17,2,6,2,6,2,6,4,4,4,5,5.00,5,5,6,5,6,5.40,5,5,4,4.67,4,4,4,4,3,3.75,5,5,3,5,5,4,4.40,5,3,5,5,6,5,5.20,4,3,5,5,3,3.75,3,2,4,3.00,4,Carpet technician,0,1991,25,1,-0.50,1,0,0,0,0,0,,0.50,5,5,3.00,4.00,3,,1,0,None,To see how bias people were and their opinions on being bias,2
103,-0.5,-0.5,1,0,0,0,5,6,5,4,4,4,4,6,5.00,6,2,4,4,5,3,5,4,6,3,3.86,6,4,6,5,4,5.00,5,5,5,5.00,4,4,5,3,5,4.00,4,7,5,5,5,5,5.40,6,6,2,5,6,6,5.00,6,6,6,6,2,5.00,6,6,5,5.67,3,Executive,0,1987,29,2,0.50,0,0,0,0,1,0,,0.50,6,1,7.00,6.50,2,,1,0,No,I'm not sure.,2
104,0.5,-0.5,0,0,1,0,6,2,4,3,5,4,4,2,3.83,5,3,4,4,5,3,4,2,3,4,3.29,2,3,4,2,4,3.00,2,4,6,4.00,6,4,2,6,4,5.00,3,3,2,6,2,3,3.20,4,6,2,5,4,2,3.40,4,6,4,2,6,5.00,3,3,1,2.33,4,,0,1991,25,2,0.50,0,0,1,0,0,0,,-0.50,5,3,5.00,5.00,2,,1,0,,,2
105,0.5,-0.5,0,0,1,0,3,1,5,4,4,4,4,3,3.33,6,2,3,5,3,5,1,2,4,3,3.14,3,1,1,5,1,2.20,5,3,3,3.67,2,5,1,7,4,4.50,7,4,2,1,2,5,2.80,5,4,4,2,6,2,3.80,4,2,6,2,6,4.50,5,2,3,3.33,2,retail,0,1992,24,1,-0.50,0,0,0,1,0,0,,0.50,5,3,5.00,5.00,1,,1,0,,not sure,2
106,0.5,-0.5,0,0,1,0,6,2,1,2,6,5,3,3,3.50,4,4,1,7,4,4,6,2,3,4,4.29,5,3,5,2,3,3.60,1,5,5,3.67,5,5,2,6,3,4.75,5,6,4,5,1,4,4.00,2,3,5,6,2,2,3.40,5,2,1,5,3,2.75,5,5,2,4.00,1,retail,0,1976,40,2,0.50,0,0,0,1,0,0,,0.50,5,2,6.00,5.50,1,,1,0,no,not sure,2
107,0.5,-0.5,0,0,1,0,5,5,6,3,5,3,5,6,5.33,5,3,6,2,6,2,5,7,6,6,4.43,6,5,5,4,6,5.20,4,5,4,4.33,5,6,3,5,5,5.25,5,7,6,7,5,7,6.40,5,3,5,4,6,5,5.00,2,5,6,3,5,4.50,7,7,7,7.00,3,Analyst,0,1989,27,1,-0.50,0,0,1,0,0,0,,-0.50,1,7,1.00,1.00,1,,1,0,no,to examine thoughts about biases,2
